x,y,z
4409722.66,5626403.33,529.96
4409912.82,5626184.02,528.12
4409715.76,5626390.27,529.98
4409805.03,5626393.32,527.38
4409714.17,5626392.83,529.73
4409906.7,5626192.76,526.97
4409721.59,5626391.44,529.78
4409725.74,5626384.93,528.27
4409719.44,5626386.94,528.27
4409835.39,5626340.73,527.63
4409808.67,5626384.76,527.68
4409836.41,5626312.67,528.09
4409849.76,5626289.91,528.07
4409861.12,5626270.16,528.09
4409875.47,5626246.37,528.11
4409888.47,5626223.5,528.14
4409900.64,5626202.84,528.17
4409902.34,5626186.95,528.41
4409901.15,5626180.69,528.48
4409904.28,5626175.08,528.53
4409909.35,5626178.09,528.33
4409918.24,5626186.12,528.06
4409796.6,5626382,528.15
4409822.86,5626335.73,528.1
4409754.63,5626394.92,528.57
4409723.66,5626382.06,526.6
4409716.95,5626384.23,526.58
4409714.81,5626373.65,526.59
4409712.22,5626375.75,526.56
4409736.39,5626401.9,529.28
4409744.85,5626405.07,528.6
4409784.1,5626420.35,529.73
4409774.43,5626420.16,529.95
4409789.6,5626422.27,527.18
4409906.79,5626206.34,527.76
4409880.7,5626250.6,527.76
4409867.02,5626273.85,527.75
4409843.22,5626315.38,527.84
4409856.32,5626292.61,527.83
4409868.71,5626271.52,527.84
4409881.86,5626249.13,527.88
4409894.89,5626226.98,527.9
4409912.74,5626180.24,528.31
4409907.87,5626180.27,528.33
4409907.58,5626185.64,528.45
4409803.76,5626381.93,527.92
4409816.78,5626359.86,527.85
4409829.64,5626337.76,527.84
4409828.49,5626339.76,527.76
4409802.07,5626384.5,527.79
4409792.58,5626405.89,527.81
4409788.16,5626408.3,527.76
4409791.19,5626414.8,527.62
4409786.71,5626410.13,527.94
4409773.35,5626403.63,528.22
4409764.36,5626401.87,528.3
4409753.3,5626399.44,528.42
4409729.76,5626393.86,529.57
4409692.18,5626392.62,529.95
4409789.52,5626401.28,528.14
4409809.99,5626370.74,528.1
4409823.45,5626348.14,528.06
4409830.68,5626335.62,528.07
4409836.32,5626325.9,528.04
4409784.28,5626400.82,527.93
4409792.07,5626410.45,527.01
4409800.71,5626405.54,527.23
4409872.35,5626260.37,526.89
4409901.19,5626185.41,526.2
4409894.7,5626185.44,523.59
4409885.58,5626185.6,519.09
4409874.68,5626185.99,514.43
4409864.13,5626186.38,509.96
4409853.27,5626186.95,505.31
4409842.52,5626187.32,500.92
4409831.55,5626187.97,496.28
4409821.05,5626188.52,491.7
4409809.21,5626186.55,487.26
4409799.59,5626187.39,483.32
4409780.91,5626188.34,476.89
4409789.35,5626187.73,479.16
4409773.41,5626189.26,476.61
4409772.62,5626200.89,476.64
4409767.85,5626211.04,476.57
4409761.69,5626221.47,476.45
4409756.42,5626230.1,476.37
4409750.12,5626239.9,476.36
4409744.71,5626249.47,476.49
4409739.07,5626258.79,476.45
4409733.06,5626268.03,476.35
4409727.14,5626278.22,476.56
4409779.46,5626402.77,526.79
4409774.63,5626398.71,525.72
4409772.18,5626394.8,523.51
4409768.26,5626385.53,519.11
4409764.74,5626376.9,515.43
4409757.78,5626368.09,511.28
4409753.98,5626360.07,507.65
4409750.95,5626351.19,503.57
4409746.94,5626343.42,499.73
4409744.32,5626338.52,497.35
4409739.4,5626331.06,493.19
4409734.42,5626323.67,489.48
4409729.6,5626316.52,485.85
4409728.73,5626308.41,481.81
4409735.05,5626299.7,478.27
4409727.53,5626302.97,479.71
4409717.25,5626288.38,478.15
4409711.34,5626291.04,478.15
4409705.67,5626279.23,477.64
4409905.39,5626189.58,524.8
4409900.97,5626190.12,523.62
4409895.61,5626190.27,521
4409886.79,5626191.25,516.29
4409873.58,5626192.2,511.68
4409865.29,5626192.07,507.24
4409854.14,5626192.62,502.55
4409841.62,5626192.97,498.01
4409829.89,5626193.38,493.31
4409819.11,5626194,488.8
4409808.13,5626194.24,484.17
4409798.9,5626194.68,480.32
4409788.28,5626195.76,475.41
4409782.94,5626195.83,473.32
4409769.27,5626217.85,473.21
4409758.29,5626236.92,473.18
4409744.4,5626259.45,473.14
4409729.92,5626285.12,473.06
4409721.07,5626285.9,476.57
4409729.46,5626301.24,478.33
4409732.99,5626305.42,478.64
4409737.6,5626314.04,482.97
4409742.39,5626321.34,486.93
4409747,5626328.92,490.94
4409752.27,5626336.52,494.84
4409754.67,5626341.5,497.39
4409758.63,5626349.88,501.34
4409766.42,5626367.88,508.63
4409769.55,5626375.39,512.84
4409773.24,5626384.26,516.48
4409777.05,5626392.71,520.33
4409767.22,5626394.22,522.44
4409763.97,5626386.94,519.21
4409759.78,5626378.98,515.58
4409754.48,5626370.52,511.36
4409751.78,5626362.93,507.89
4409748.75,5626354.27,503.91
4409745.38,5626346.41,499.98
4409742.75,5626341.7,497.59
4409737.95,5626335.06,493.78
4409732.63,5626327.6,489.78
4409728.25,5626320.39,486.19
4409722.2,5626312.03,481.45
4409715.47,5626310.19,480
4409748.91,5626385.56,524.14
4409727.32,5626378.81,522.33
4409764.79,5626395.64,525.18
4409763.22,5626359.2,505.08
4409783.6,5626197.21,473.41
4409776.28,5626208.85,473.34
4409771.49,5626216.48,473.27
4409766.83,5626224.64,473.28
4409761.92,5626232.98,473.26
4409757.04,5626241.24,473.25
4409751.88,5626249.83,473.28
4409747.24,5626257.96,473.26
4409742.02,5626265.71,473.24
4409736.87,5626274.35,473.22
4409732.19,5626283.59,473.2
4409737.9,5626292.18,477.18
4409743.15,5626284.47,477.49
4409748.29,5626275.06,477.57
4409753.15,5626266.97,477.64
4409758.54,5626259.39,477.84
4409763.42,5626251.28,477.97
4409768.64,5626242.38,477.96
4409773.66,5626234.2,478.08
4409778.21,5626225.93,477.94
4409782.75,5626218.23,477.9
4409787.64,5626210.04,477.9
4409792.36,5626201.56,477.81
4409794.38,5626197.03,477.68
4409801.74,5626201.48,481.81
4409799.71,5626205.73,481.99
4409795.06,5626214.38,482.16
4409790.41,5626222.85,482.32
4409786.11,5626230.81,482.53
4409780.77,5626238.61,482.21
4409775.74,5626246.6,482.05
4409770.52,5626255.45,482.05
4409765.37,5626263.31,482.01
4409760.73,5626271.69,482.08
4409755.79,5626280.91,482
4409750.81,5626289.12,481.95
4409745.78,5626297.44,481.9
4409740.66,5626305.45,481.8
4409744.16,5626312.96,485.09
4409749.51,5626305.32,485.43
4409750.18,5626301.05,485.65
4409757.57,5626293.16,485.88
4409763.15,5626285.29,486.3
4409768.49,5626277.26,486.56
4409768.46,5626267.58,486.64
4409778.27,5626260.17,486.57
4409783.2,5626251.36,486.46
4409787.9,5626242.89,486.35
4409789.98,5626235.05,486.36
4409796.84,5626226.76,486.05
4409801.54,5626218.23,485.88
4409805.89,5626209.57,485.58
4409808.27,5626205.21,485.51
4409808.2,5626197.06,485.43
4409818.56,5626197.2,490.54
4409821.52,5626203.15,490.77
4409817.93,5626210.97,491.13
4409813.57,5626219.65,491.41
4409811.47,5626224.1,491.63
4409803.99,5626232.97,491.74
4409802.28,5626240.42,491.83
4409794.1,5626249.38,491.93
4409792.66,5626257.85,492.11
4409787.62,5626265.49,492.15
4409782.4,5626274.21,492.12
4409777.84,5626283.94,492.15
4409772.87,5626291.09,491.94
4409767.69,5626299.23,491.74
4409762.08,5626307.17,491.3
4409756.7,5626315.13,491.04
4409750.6,5626322.07,490.29
4409759.09,5626327.21,495.25
4409764.65,5626319.89,495.71
4409768.26,5626308.92,495.99
4409775.42,5626303.86,496.24
4409780.31,5626296.17,496.41
4409785.55,5626288.47,496.59
4409790.66,5626279.81,496.65
4409795.59,5626270.75,496.75
4409800.47,5626262.59,496.68
4409805.34,5626254.22,496.66
4409810.41,5626245.36,496.58
4409814.85,5626237.46,496.46
4409819.78,5626229,496.51
4409824.65,5626220.5,496.48
4409827.17,5626216.31,496.53
4409830.78,5626208.69,496.18
4409834.91,5626200.21,495.91
4409848.66,5626197.07,500.88
4409843.67,5626205.52,500.96
4409839.24,5626213.66,501.12
4409835.68,5626221.3,501.49
4409831.54,5626230.1,501.88
4409829.13,5626234.36,501.93
4409824.28,5626242.96,501.94
4409819.55,5626250.9,501.92
4409814.44,5626259.72,501.96
4409809.6,5626268.09,501.99
4409804.92,5626277.23,502.12
4409799.84,5626285.33,501.99
4409794.43,5626293.58,501.78
4409789.75,5626301.12,501.73
4409784.49,5626309.25,501.53
4409779.18,5626317.36,501.31
4409773.95,5626325.45,501.16
4409768.99,5626333,501.01
4409763.54,5626339.34,500.54
4409754.61,5626334.49,495.17
4409773.7,5626341.51,505.26
4409778.78,5626333.69,505.42
4409781.06,5626329.73,505.36
4409784.62,5626319.1,505.6
4409791.88,5626313.7,505.85
4409797.16,5626306.45,506.23
4409802.04,5626298.17,506.25
4409807.17,5626289.77,506.29
4409812.08,5626280.75,506.38
4409817.36,5626272.87,506.54
4409822.2,5626264.44,506.47
4409827.44,5626256.32,506.44
4409831.87,5626247.39,506.32
4409836.33,5626238.59,506.1
4409840.73,5626229.98,506.11
4409850.09,5626214.52,506.03
4409854.32,5626206.29,505.77
4409859.35,5626197.91,505.68
4409872.19,5626194.64,510.57
4409867.93,5626202.94,510.56
4409862.73,5626211.21,510.64
4409858.5,5626219.45,510.89
4409854.17,5626227.75,511.13
4409849.85,5626235.44,511.41
4409845.21,5626244,511.58
4409840.53,5626253.17,511.67
4409836.7,5626261.92,511.87
4409831.6,5626270.15,512.01
4409826.88,5626278.62,512.13
4409821.99,5626286.75,512.2
4409816.91,5626295.02,512.19
4409811.73,5626303.14,512
4409806.77,5626312.22,511.9
4409802.35,5626319.97,512.01
4409797.17,5626328.17,511.87
4409791.83,5626336.15,511.66
4409784.16,5626344.1,511.54
4409784.23,5626347.77,511.39
4409796.25,5626343.89,515.55
4409798.59,5626340.2,515.58
4409798.43,5626331.45,515.78
4409808.82,5626323.01,515.87
4409813.75,5626315.55,516.04
4409818.73,5626307.3,516.07
4409823.69,5626299.08,516.15
4409829.07,5626291.03,516.33
4409834.07,5626282.97,516.34
4409839.1,5626274.7,516.4
4409844.42,5626266.62,516.39
4409848.3,5626257.87,516.18
4409853.03,5626248.67,516.13
4409857.63,5626240.01,515.92
4409862.53,5626232.63,515.99
4409862.44,5626223.96,515.96
4409871.76,5626216.53,515.88
4409877.13,5626208.35,515.89
4409881.25,5626200.15,515.65
4409894.43,5626196.96,520.54
4409890.15,5626205.49,520.8
4409886.12,5626213.66,521.12
4409881.31,5626222.15,521.39
4409874.04,5626230.12,521.44
4409872.23,5626238.4,521.63
4409867.5,5626245.8,521.61
4409862.44,5626254.23,521.56
4409857.12,5626263.13,521.3
4409852.84,5626271.72,521.33
4409847.61,5626279.88,521.38
4409842.52,5626288.1,521.26
4409837.31,5626296,521.11
4409832.47,5626304.34,521.23
4409827.46,5626312.51,521.14
4409822.62,5626320.88,521.19
4409817.87,5626328.45,521.14
4409807.64,5626336.06,521.05
4409808.17,5626344.95,520.94
4409803.38,5626353.51,521.04
4409797.78,5626359.68,520.55
4409792.93,5626369.63,520.56
4409788.42,5626375.31,520.45
4409783.88,5626382.89,520.13
4409773.64,5626378.47,514.98
4409778.69,5626369.98,514.63
4409782.75,5626363.07,514.5
4409783.71,5626354.95,514.42
4409778.17,5626347.23,508.98
4409773.9,5626357.88,509.39
4409770.31,5626365.2,509.83
4409764.28,5626357.49,505.26
4409769.25,5626349.04,505.15
4409845.34,5626222.6,506.05
4409769.42,5626186.86,476.75
4409758.33,5626205.61,476.61
4409763.47,5626195.12,476.65
4409751.84,5626215.38,476.5
4409745.78,5626223.84,476.36
4409741.69,5626234.75,476.35
4409735.16,5626243.75,476.3
4409728.96,5626253.07,476.41
4409722.58,5626262.12,476.38
4409739.17,5626373.05,518.93
4409785.12,5626399.25,526.78
4409799.23,5626375.07,526.78
4409803.89,5626366.58,526.77
4409808.94,5626357.97,526.77
4409813.28,5626350.68,526.73
4409818.51,5626341.35,526.67
4409823.32,5626333.52,526.65
4409832.9,5626317.1,526.62
4409838.86,5626308.03,526.64
4409843.58,5626299.53,526.63
4409848.18,5626291.53,526.62
4409853.86,5626282.71,526.61
4409858.2,5626274.72,526.64
4409863.03,5626264.49,526.69
4409869.42,5626258.9,526.72
4409876.76,5626242.64,526.76
4409886.4,5626226.05,526.8
4409890.83,5626218.39,526.77
4409897.37,5626209.01,526.78
4409900.33,5626201.41,526.8
4409715.75,5626271.45,476.54
4409729.9,5626381.03,522.96
4409739.79,5626388.39,527.76
4409747.33,5626378.65,527.77
4409727.8,5626386.43,529.8
4409777.7,5626401.31,528.39
4409776.99,5626413.62,528.07
4409761.54,5626409.89,528.07
4409791.5,5626387.88,526.83
4409797.42,5626412.02,527.18
4409734.24,5626386.73,523.53
4409748.72,5626390.88,524.58
4409770.61,5626399.69,525.58
4409768.69,5626413.35,527.99
4409912.5,5626188.23,528
4409734.03,5626400.77,529.69
4409264.04,5625650,489.05
4409240.17,5625730.75,485.98
4409247.78,5625728.55,486.65
4409258.48,5625729.53,487.41
4409265.02,5625729.3,487.39
4409286.29,5625730.76,486.26
4409294.05,5625728.66,491.01
4409302.02,5625727.05,491.47
4409310.63,5625729.71,501.37
4409319.14,5625730.18,502.01
4409349.43,5625726.94,524.51
4409347.5,5625755.19,524.5
4409319.45,5625761.42,502.27
4409310.97,5625760.82,501.55
4409303.23,5625759.93,490.85
4409295.05,5625759.87,490.43
4409286.93,5625760.59,485.73
4409242.58,5625486,504.43
4409246.22,5625527.86,498.6
4409251.15,5625525.89,498.2
4409238.29,5625559.01,494.66
4409354.86,5625549.88,513.07
4409369.96,5625554.85,523.91
4409319.29,5625690.31,501.85
4409349.59,5625699.28,524.67
4409270.37,5625398.86,500.37
4409226.53,5625390.07,514.21
4409238.06,5625391.81,510.08
4409237.17,5625405.26,509.14
4409255.38,5625426.92,503.57
4409248.33,5625454.65,508.07
4409518.05,5625238.69,499.44
4409519.47,5625234.55,499.95
4409518.71,5625230.88,499.53
4409526.59,5625235.79,503.81
4409502.21,5625260.89,498.94
4409507.94,5625251.42,498.91
4409489.24,5625269.1,498.21
4409460.03,5625305.89,497.48
4409465.74,5625298.89,497.63
4409428.69,5625336.44,496.19
4409431.6,5625320,496.42
4409440.87,5625326.44,497.01
4409410.17,5625321.25,496.35
4409295.56,5625340.73,499.84
4409280.71,5625336.11,500.98
4409268.51,5625333.49,503.5
4409246.42,5625333.32,506.5
4409205.88,5625331.07,524.55
4409205.76,5625316.24,523.98
4409212.4,5625315.23,519.08
4409226.1,5625312,512.06
4409190.53,5625292.6,524.39
4409195.26,5625288.85,522.49
4409198.77,5625284.55,519.78
4409201.01,5625279.18,515.38
4409189.23,5625273.69,519.58
4409187.84,5625279.74,523.84
4409191.99,5625269.67,516.15
4409188.84,5625256.32,516.49
4409188.86,5625251.67,514.22
4409165.65,5625262.49,523.8
4409157.92,5625257.53,522.27
4409155.48,5625262.27,524.1
4409164.17,5625266.26,525.43
4409170.35,5625271.2,523.96
4409136.85,5625253.25,522.49
4409133.87,5625246.75,521.8
4409127.3,5625247.72,522.24
4409133.01,5625241.88,522.73
4409157.41,5625248.33,517.89
4409159.84,5625251.88,517.71
4409160.3,5625255.45,518.68
4409342.18,5625313.87,495.36
4409349.47,5625314.25,495.44
4409344.89,5625301.19,495.67
4409338.5,5625300.01,494.38
4409336.45,5625297.39,494.27
4409329.97,5625297.09,495.6
4409328.7,5625307.47,495.49
4409323.18,5625299.43,498.03
4409315.28,5625296.99,499.19
4409320.75,5625290.14,498.95
4409333.23,5625291.46,495.64
4409333.3,5625289.09,495.82
4409339.17,5625292.23,494.55
4409330.65,5625282.01,497.32
4409332.22,5625284.53,498.45
4409345,5625288.51,494.72
4409345.82,5625291.49,495.88
4409353.35,5625294.69,495.89
4409353.66,5625290.74,495.24
4409348.55,5625309.68,494.62
4409355.13,5625309.5,495.63
4409356.28,5625305.17,495.58
4409361.29,5625307.78,494.48
4409367.05,5625291.14,495.87
4409362.99,5625286.88,495.73
4409358.21,5625283.98,495.16
4409369.52,5625285.64,496.35
4409369.79,5625283.3,495.2
4409359.85,5625277.17,496.52
4409357.83,5625281.97,495.09
4409350.65,5625278.71,496.44
4409347.32,5625271.31,496.4
4409344.93,5625267.68,498.6
4409341.01,5625280.69,496.69
4409348.56,5625285.02,495
4409308.12,5625275.6,502.32
4409321.14,5625280.86,499.17
4409296.94,5625264.16,506.73
4409281.74,5625249.02,514.7
4409264.27,5625231.28,523.12
4409241.93,5625238.82,522.67
4409228,5625245.87,523.48
4409227.18,5625240.86,524.62
4409238.02,5625255.07,519.69
4409258.53,5625260.09,516.95
4409226.5,5625256.38,518.21
4409217.1,5625267.61,510.34
4409196.34,5625241.16,524.35
4409196.16,5625248.29,517.35
4409175.55,5625241.88,522.67
4409174.9,5625237.97,523.58
4409160.97,5625242.86,522.27
4409169.86,5625248.28,516.3
4409165.93,5625251.49,517.28
4409170.37,5625258.43,517.23
4409174.79,5625261.25,517.17
4409174.3,5625263.25,517.64
4409177.28,5625270.26,523.74
4409206.97,5625276.39,514.89
4409212.8,5625271.45,511.12
4409244.79,5625304.82,508.08
4409254.4,5625297.39,504.75
4409268.13,5625293.18,506.33
4409287.01,5625298.03,503.84
4409270.32,5625278.62,509.82
4409285.06,5625211.49,522.69
4409296.27,5625217.47,518.01
4409309.26,5625226.2,511.46
4409329.78,5625238.32,504.15
4409344.63,5625246.16,500.35
4409335.91,5625311.88,494.18
4409346.5,5625334.33,494.01
4409339.83,5625334.53,493.72
4409346.41,5625331.99,494.11
4409352.97,5625331.01,495.07
4409351.64,5625325.37,495.32
4409357.31,5625324.11,494.32
4409352.92,5625341.47,494.49
4407895.01,5625426.81,528.64
4409326.26,5625330.85,494.88
4409338.92,5625329.44,495.08
4409357.98,5625339.77,494.78
4407902.54,5625409.53,528.12
4409365.75,5625342.71,495.53
4409370.41,5625345.14,495.45
4409375.39,5625298.38,495.52
4409385.56,5625302.8,496.5
4409391.65,5625308.59,496.43
4407881.35,5625417.43,528.14
4409379.09,5625285.68,496.67
4409380.83,5625280.85,495.32
4409382.99,5625278.41,495.39
4407872.63,5625420.83,528.11
4409378.07,5625273.99,496.94
4409388.37,5625279.45,495.52
4409389.31,5625281.94,495.36
4407853.16,5625428.59,528.11
4409386.86,5625283.96,495.99
4409392.6,5625285.06,496.59
4409390.79,5625291.29,496.56
4407846.88,5625432.37,528.1
4409381.48,5625288.62,496.39
4409389.79,5625272.59,496.35
4409394.57,5625275.94,496.95
4407829.8,5625440.48,528.11
4409393.75,5625266.76,496.8
4409397.29,5625278.67,496.18
4409407.75,5625281.38,495.74
4407834.81,5625437.35,528.11
4409413.47,5625279.46,497.1
4409417.72,5625277.24,497.06
4409411.77,5625276.02,497.62
4409407.89,5625276.75,497.67
4407892.7,5625411.05,528.14
4409409.26,5625286.36,497.41
4409407.82,5625287.64,497.45
4409400.52,5625285.68,497.47
4409398.18,5625282.3,497.11
4409412.77,5625285.55,497.14
4409423.05,5625285.87,497.33
4409420.9,5625283.63,496.08
4409420.89,5625281.45,496.06
4409420.82,5625278.69,496.98
4409440.54,5625274.43,496.54
4409434.45,5625270.93,497.57
4409437.82,5625277.32,496.39
4409443.28,5625280.27,497.67
4409421.96,5625262.42,497.52
4409429.14,5625266.19,496.94
4409421.05,5625259.91,497.73
4409415.36,5625255.48,497.28
4409472.39,5625255.56,498.35
4409473.75,5625254.49,497.1
4409459.09,5625247.59,497.24
4409461.09,5625246.71,498.73
4409460.83,5625243.54,497.75
4409452.45,5625238.21,497.61
4409444.92,5625234,498.27
4409445,5625232.08,498.37
4409437.3,5625227.13,497.76
4409470.28,5625202.38,499.04
4409470.83,5625205.41,499.02
4409477.68,5625208.06,498.33
4409485.38,5625215.54,497.97
4409491.6,5625219.6,498.98
4409498.44,5625221.21,497.91
4409499.42,5625224.89,497.87
4409502.04,5625227.09,499.24
4409508.37,5625225.94,499.1
4409502.68,5625222.74,498.5
4409509.41,5625218.78,499.25
4409502.76,5625217.51,498.18
4409519.45,5625195.29,499.49
4409525.11,5625197.35,498.48
4409526.51,5625200.82,498.44
4409530.67,5625202.56,500.04
4409540.66,5625209.42,500.6
4409539.59,5625205.19,500.26
4409541.36,5625193.14,500.77
4409548.56,5625167.67,500.41
4409554.3,5625169.46,498.95
4409553.21,5625171.44,498.99
4409559.7,5625173.93,501.01
4409563.05,5625176.08,501.29
4409565.34,5625178.55,503.21
4409568.11,5625180.61,503.47
4409544.34,5625161.92,499.88
4409512.61,5625140.68,500.54
4409520.28,5625144.87,500.59
4409519.83,5625148.17,500.62
4409528.68,5625151.13,499.57
4409505.02,5625129.86,500.67
4409489.79,5625115.26,506.42
4409474.75,5625094.86,513.45
4409458.48,5625070.94,522.55
4409409.56,5625091.98,524.34
4409413.69,5625096.44,523.19
4409427.47,5625108.73,516.92
4409395.98,5625129.56,518.2
